C1,C2
0.000,6.266
1.000,6.295
2.000,6.771
3.000,7.377
4.000,7.758
5.000,8.721
6.000,9.770
7.000,9.988
8.000,10.887
9.000,11.598
10.000,12.383
11.000,13.309
12.000,12.363
13.000,13.201
14.000,15.035
15.000,16.131
16.000,18.900
17.000,22.486
18.000,25.217
19.000,22.539
20.000,22.936
21.000,29.707
22.000,29.158
23.000,30.252
24.000,35.988
25.000,49.527
26.000,54.236
27.000,56.904
28.000,59.633
29.000,57.113
30.000,51.807
31.000,52.342
32.000,47.811
33.000,46.541
34.000,44.324
35.000,42.920
36.000,41.289
37.000,40.240
38.000,37.582
39.000,39.275
40.000,34.754
41.000,35.020
42.000,39.244
43.000,40.369
44.000,39.650
45.000,43.607
46.000,42.926
47.000,42.576
48.000,41.223
49.000,41.920
50.000,41.887
51.000,39.758
52.000,39.730
53.000,41.436
54.000,52.264
55.000,44.619
56.000,49.848
57.000,48.191
58.000,43.564
59.000,56.496
60.000,38.387
61.000,43.283
62.000,48.256
63.000,48.141
64.000,48.863
65.000,50.893
66.000,52.701
67.000,53.396
68.000,54.721
69.000,56.658
70.000,58.475
71.000,60.357
72.000,61.951
73.000,62.301
74.000,61.174
75.000,59.561
76.000,57.135
77.000,54.998
78.000,51.314
79.000,49.219
80.000,47.221
81.000,45.863
82.000,43.492
83.000,40.650
84.000,37.340
85.000,34.600
86.000,31.422
87.000,29.785
88.000,28.057
89.000,27.355
90.000,26.547
91.000,25.402
92.000,24.594
93.000,23.293
94.000,22.004
95.000,20.994
96.000,19.941
97.000,19.465
98.000,18.846
99.000,18.453
100.000,17.930
101.000,17.332
102.000,16.301
103.000,16.271
104.000,15.939
105.000,15.762
106.000,15.490
107.000,15.117
108.000,14.576
109.000,14.244
110.000,14.191
111.000,14.414
112.000,14.725
113.000,14.896
114.000,14.850
115.000,15.098
116.000,15.391
117.000,15.096
118.000,15.389
119.000,15.580
120.000,15.285
121.000,15.602
122.000,15.586
123.000,16.135
124.000,17.104
125.000,18.566
126.000,19.863
127.000,21.363
128.000,22.762
129.000,24.852
130.000,26.613
131.000,26.785
132.000,27.498
133.000,28.936
134.000,30.828
135.000,33.244
136.000,34.865
137.000,35.848
138.000,33.371
139.000,32.961
140.000,34.363
141.000,31.102
142.000,28.055
143.000,31.740
144.000,34.379
145.000,28.730
146.000,26.297
147.000,29.709
148.000,31.227
